nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0022186,Gloria Alonso,\N,\N,actress,"tt0154372,tt0140424,tt0040197,tt0180036"
nm0022187,Gregorio Alonso,\N,\N,actor,"tt0057370,tt0063723,tt0059489,tt0056037"
nm0022188,Hugo Alonso,\N,\N,make_up_department,"tt2351190,tt2362246,tt3279256"
nm0022189,Ira Alonso,\N,\N,"actress,soundtrack","tt0247872,tt0077094,tt0366012,tt0083796"
nm0022190,Irma Alonso,\N,\N,set_decorator,tt0164604
nm0022192,Jesús Alonso,\N,\N,"miscellaneous,production_manager","tt0101317,tt0117883,tt0125659,tt0364798"
nm0022193,Jesús Alonso,\N,\N,actor,"tt0160334,tt0157280,tt0099884"
nm0022194,Joachim Alonso,\N,\N,actor,tt0102762
nm0022195,Joan Alonso,\N,\N,"make_up_department,costume_department,actor","tt0115536,tt0111249,tt7070676,tt0089405"
nm0022196,Will More,1949,2017,actor,"tt0097107,tt0087414,tt0094729,tt0078797"
nm0022197,Job Alonso,1975,\N,"miscellaneous,actor,director","tt14056588,tt0977689,tt14088676,tt0157007"
nm0022198,Johnny Alonso,1970,\N,"actor,producer,director","tt10293938,tt3749900,tt0368530,tt0484243"
nm0022199,Jorge Luis Alonso,\N,\N,"actor,writer","tt14153804,tt6843558"
nm0022200,José Alonso,1947,\N,actor,"tt0275327,tt0223067,tt0110590,tt0222537"
nm0022201,José Luis Alonso,\N,\N,"camera_department,actor,editor","tt1111890,tt20096840,tt0371920,tt11623464"
nm0022203,José Alonso,\N,\N,camera_department,tt0098214
nm0022204,José Alonso,\N,\N,actor,tt0060224
nm0022205,José Alonso,\N,\N,make_up_department,tt0114110
nm0022206,José Alonso,\N,\N,production_manager,tt0183427
nm0022207,José Carlos Alonso,\N,\N,transportation_department,"tt0217582,tt0102169,tt0123043"
nm0022208,José Luis Alonso,\N,\N,actor,"tt0120946,tt0075798,tt0085139,tt0077438"
nm0022209,José López Alonso,\N,\N,actor,tt0016906
nm0022210,José Manuel Alonso,\N,\N,actor,"tt0256493,tt0076967"
nm0022211,Juan Alonso,\N,\N,"actor,costume_department,make_up_department","tt0286552,tt0109242,tt0257971,tt0320466"
nm0022212,Juanito Alonso,\N,\N,actor,tt0049705
nm0022213,Julian Alonso,\N,\N,actor,tt0069311
nm0022214,Julio Alonso,\N,\N,actor,"tt0091653,tt0090471"
nm0022215,Leg Alonso,\N,\N,,\N
nm0022216,Leopoldo Alonso,\N,\N,"cinematographer,writer,director","tt0018504,tt0037606,tt0039643,tt0016304"
nm0022217,Lola Alonso,\N,\N,actress,"tt0373478,tt0211842,tt0297174,tt0165405"
nm0022218,Lolita Alonso,\N,\N,actress,tt0021713
nm0022219,Luis Alonso,\N,\N,actor,"tt0071114,tt0072935,tt0070312,tt0074199"
nm0022220,Luis Esteban Alonso,\N,\N,actor,tt0173787
nm0022221,Luis Miguel Alonso,\N,\N,"sound_department,actor,editor","tt1695877,tt2232522,tt0164440"
