MovieID,budget,company,companyID,country,director,genre,gross,Movie,rating,Released Date,runtime,score,Actor,votes,writer,year
Seventh SonBen Barnes2014,95000000,Beijing Skywheel Entertainment Co.,Beijing Skywheel Entertainment Co.USA,USA,Sergei Bodrov,Action,17223265,Seventh Son,PG-13,2/6/2015,102,5.5,Ben Barnes,61441,Charles Leavitt,2014
UnfriendedHeather Sossaman2014,1000000,Bazelevs Production,Bazelevs ProductionUSA,USA,Levan Gabriadze,Drama,31537320,Unfriended,R,4/17/2015,83,5.6,Heather Sossaman,52922,Nelson Greaves,2014
Búsqueda implacable 3Liam Neeson2014,48000000,EuropaCorp,EuropaCorpFrance,France,Olivier Megaton,Action,89256424,Búsqueda implacable 3,PG-13,1/9/2015,109,6,Liam Neeson,149069,Luc Besson,2014
BlendedAdam Sandler2014,40000000,Gulfstream Pictures,Gulfstream PicturesUSA,USA,Frank Coraci,Comedy,46294610,Blended,PG-13,5/23/2014,117,6.5,Adam Sandler,96218,Ivan Menchell,2014
The Best of MeJames Marsden2014,26000000,DiNovi Pictures,DiNovi PicturesUSA,USA,Michael Hoffman,Drama,26761283,The Best of Me,PG-13,10/17/2014,118,6.7,James Marsden,51322,J. Mills Goodloe,2014
BoyhoodEllar Coltrane2014,4000000,IFC Productions,IFC ProductionsUSA,USA,Richard Linklater,Drama,25379975,Boyhood,R,8/15/2014,165,7.9,Ellar Coltrane,293068,Richard Linklater,2014
AnnieQuvenzhané Wallis2014,65000000,Marcy Media,Marcy MediaUSA,USA,Will Gluck,Comedy,85911262,Annie,PG,12/19/2014,118,5.3,Quvenzhané Wallis,28204,Will Gluck,2014
Sex TapeJason Segel2014,40000000,Columbia Pictures,Columbia PicturesUSA,USA,Jake Kasdan,Comedy,38543473,Sex Tape,R,7/18/2014,94,5.1,Jason Segel,92074,Kate Angelo,2014
Inherent ViceJoaquin Phoenix2014,20000000,Ghoulardi Film Company,Ghoulardi Film CompanyUSA,USA,Paul Thomas Anderson,Comedy,8110975,Inherent Vice,R,1/9/2015,148,6.7,Joaquin Phoenix,72027,Paul Thomas Anderson,2014
HoneymoonRose Leslie2014,1000000,Fewlas Entertainment,Fewlas EntertainmentUSA,USA,Leigh Janiak,Horror,9168,Honeymoon,R,9/12/2014,87,5.7,Rose Leslie,20262,Phil Graziadei,2014
Jack Ryan: Shadow RecruitChris Pine2014,60000000,Paramount Pictures,Paramount PicturesUSA,USA,Kenneth Branagh,Action,50577412,Jack Ryan: Shadow Recruit,PG-13,1/17/2014,105,6.2,Chris Pine,105471,Adam Cozad,2014
WildReese Witherspoon2014,15000000,Bob Industries,Bob IndustriesUSA,USA,Jean-Marc Vallée,Adventure,37880356,Wild,R,12/19/2014,115,7.1,Reese Witherspoon,98839,Nick Hornby,2014
TuskJustin Long2014,3000000,SModcast Pictures,SModcast PicturesUSA,USA,Kevin Smith,Comedy,1821983,Tusk,R,9/19/2014,102,5.4,Justin Long,35556,Kevin Smith,2014
Need for SpeedAaron Paul2014,66000000,DreamWorks,DreamWorksUSA,USA,Scott Waugh,Action,43577636,Need for Speed,PG-13,3/14/2014,132,6.5,Aaron Paul,145738,George Gatins,2014
