nconst,primaryName,primaryProfession,tconst
nm0000272,Fanny Ardant,writer,tt0348853
nm0000272,Fanny Ardant,writer,tt0283832
nm0000278,Pernilla August,writer,tt0104350
nm0000278,Pernilla August,writer,tt0121765
nm0000278,Pernilla August,writer,tt0120915
nm0000297,Tom Berenger,writer,tt1375666
nm0000297,Tom Berenger,writer,tt0085244
nm0000297,Tom Berenger,writer,tt0091763
nm0000297,Tom Berenger,writer,tt0097815
nm0000312,Amy Brenneman,writer,tt0116040
nm0000316,Mel Brooks,writer,tt0094012
nm0000316,Mel Brooks,writer,tt0395251
nm0000316,Mel Brooks,writer,tt0082517
nm0000321,Gabriel Byrne,writer,tt0145531
nm0000321,Gabriel Byrne,writer,tt0114814
nm0000321,Gabriel Byrne,writer,tt0146675
nm0000321,Gabriel Byrne,writer,tt7784604
nm0000331,Chevy Chase,writer,tt0092086
nm0000331,Chevy Chase,writer,tt0085995
nm0000331,Chevy Chase,writer,tt0080487
nm0000331,Chevy Chase,writer,tt0104850
nm0000334,Chow Yun-Fat,writer,tt0473444
nm0000334,Chow Yun-Fat,writer,tt1098327
nm0000334,Chow Yun-Fat,writer,tt0120008
nm0000334,Chow Yun-Fat,writer,tt0190332
nm0000337,Rachael Leigh Cook,writer,tt0160862
nm0000337,Rachael Leigh Cook,writer,tt11100856
nm0000343,David Cronenberg,writer,tt0094964
nm0000343,David Cronenberg,writer,tt0120907
nm0000343,David Cronenberg,writer,tt0115964
nm0000343,David Cronenberg,writer,tt0091064
nm0000345,Billy Crystal,writer,tt0122933
nm0000345,Billy Crystal,writer,tt0113097
nm0000345,Billy Crystal,writer,tt0101587
nm0000345,Billy Crystal,writer,tt0098635
nm0000349,Joan Cusack,writer,tt0096463
nm0000349,Joan Cusack,writer,tt1659337
nm0000349,Joan Cusack,writer,tt0119360
nm0000349,Joan Cusack,writer,tt0119229
nm0000355,Anthony Daniels,writer,tt2488496
nm0000355,Anthony Daniels,writer,tt2527336
nm0000355,Anthony Daniels,writer,tt0080684
nm0000356,Sybil Danning,writer,tt0373883
nm0000356,Sybil Danning,writer,tt0085672
nm0000361,Brian De Palma,writer,tt0080661
nm0000361,Brian De Palma,writer,tt0094226
nm0000361,Brian De Palma,writer,tt0120832
nm0000361,Brian De Palma,writer,tt0086984
nm0000365,Julie Delpy,writer,tt0111507
nm0000365,Julie Delpy,writer,tt0112471
nm0000365,Julie Delpy,writer,tt0381681
nm0000368,Laura Dern,writer,tt0107290
nm0000368,Laura Dern,writer,tt0090756
nm0000376,Fran Drescher,writer,tt0118691
nm0000376,Fran Drescher,writer,tt0098546
nm0000382,Atom Egoyan,writer,tt1352824
nm0000382,Atom Egoyan,writer,tt0120255
nm0000386,Roland Emmerich,writer,tt0319262
nm0000386,Roland Emmerich,writer,tt1628841
nm0000386,Roland Emmerich,writer,tt0120685
nm0000390,Joe Eszterhas,writer,tt0114436
nm0000390,Joe Eszterhas,writer,tt0108162
nm0000390,Joe Eszterhas,writer,tt0103772
nm0000399,David Fincher,writer,tt0443706
nm0000399,David Fincher,writer,tt1285016
nm0000399,David Fincher,writer,tt2267998
nm0000399,David Fincher,writer,tt0114369
nm0000410,Stephen Fry,writer,tt0280707
nm0000410,Stephen Fry,writer,tt0434409
nm0000410,Stephen Fry,writer,tt0371724
nm0000410,Stephen Fry,writer,tt0120514
nm0000413,Janeane Garofalo,writer,tt0117979
nm0000413,Janeane Garofalo,writer,tt0382932
