tconst,ordering,nconst,category,job,characters
tt27691199,1,nm1295563,director,\N,\N
tt8030266,5,nm1244743,director,series director,\N
tt2163748,1,nm0450146,actress,\N,"[""Mme Lassart""]"
tt0772071,5,nm0406654,writer,creator,\N
tt0962412,4,nm1014204,writer,creator,\N
tt27910807,3,nm4968557,self,\N,"[""Self - Judge""]"
tt0370069,3,nm0284600,producer,producer,\N
tt3500404,10,nm0828770,self,\N,"[""Self - Announcer""]"
tt6020162,5,nm8402756,editor,\N,\N
tt3304344,5,nm0276642,director,\N,\N
tt4129036,3,nm2470204,self,\N,"[""Self - Modern Samurai""]"
tt2605436,3,nm5455188,self,\N,"[""Self - Contestant""]"
tt10700184,1,nm10130280,actress,\N,\N
tt27370939,7,nm6668295,writer,\N,\N
tt1067617,4,nm0276899,director,\N,\N
tt13984694,5,nm7956131,director,\N,\N
tt6064494,3,nm0823536,actor,\N,"[""Luc Follet""]"
tt3329178,4,nm3557613,actor,\N,"[""Ravi Ross""]"
tt27026981,5,nm10622967,director,\N,\N
tt7420846,7,nm1356343,writer,adaptation,\N
tt2154240,4,nm1354213,editor,\N,\N
tt0316630,7,nm0361882,writer,story,\N
tt14373790,3,nm8038604,director,\N,\N
tt1237114,8,nm1519146,composer,\N,\N
tt14619736,2,nm5565044,actress,\N,\N
tt20417992,5,nm0427323,director,\N,\N
tt5259966,4,nm5687461,actress,\N,"[""Jenny""]"
tt15470016,1,nm0294440,writer,writer,\N
tt28219165,2,nm0808857,actress,\N,"[""Sheira""]"
tt19047234,5,nm7897561,director,\N,\N
tt26084454,2,nm1602149,producer,producer,\N
tt8080672,4,nm5539748,producer,producer,\N
tt14627450,6,nm11579725,producer,producer,\N
tt14967802,4,nm12040739,actor,\N,"[""Monica""]"
tt9569166,4,nm4355916,self,\N,"[""Self""]"
tt8834844,1,nm9638014,self,\N,"[""Self - Correspondent""]"
tt0613850,10,nm0699425,actor,\N,"[""George Simpson""]"
tt20455346,3,nm2222214,self,\N,"[""Self""]"
tt10711606,5,nm9875682,writer,\N,\N
tt0126678,5,nm0319722,cinematographer,\N,\N
tt8953664,2,nm0033042,actor,\N,"[""Martin Martinez""]"
tt8221186,2,nm1324700,actor,\N,"[""León Inostroza""]"
tt3321626,3,nm3664990,actor,\N,\N
tt7380772,4,nm2086196,self,\N,"[""Self""]"
tt8870378,4,nm8678019,actor,\N,\N
tt28637474,5,nm10135457,director,\N,\N
tt5064384,2,nm7454685,actor,\N,\N
tt14721518,1,nm12605045,actress,\N,\N
tt11549268,4,nm11227024,director,\N,\N
tt31042193,3,nm6419602,cinematographer,\N,\N
tt7368228,3,nm0828961,actress,\N,"[""Siobhan Sharpe""]"
tt0523140,3,nm0001547,actress,\N,"[""Endora""]"
tt0847841,7,nm1861633,actor,\N,\N
tt3006052,7,nm3671705,cinematographer,director of photography,\N
tt13482768,8,nm10280732,production_designer,\N,\N
tt14509082,2,nm1320614,self,\N,"[""Self""]"
tt0670280,4,nm0000327,actress,\N,"[""Claudia Salinger""]"
tt15083348,5,nm6358321,actress,\N,"[""Sarah (Journalist)""]"
tt3655956,4,nm4102940,actress,\N,"[""Florence""]"
tt1634109,8,nm3868444,composer,\N,\N
tt0881249,6,nm0237860,cinematographer,\N,\N
tt0993800,2,nm0488662,actor,\N,"[""Carl Sack""]"
tt29808777,3,nm0499601,actress,\N,"[""Vita""]"
tt1725964,6,nm0118271,writer,creator,\N
tt7554510,4,nm0006121,composer,\N,\N
tt1312664,6,nm0840547,editor,\N,\N
tt6128418,9,nm1148739,editor,\N,\N
tt8213172,3,nm0328132,actress,\N,"[""Bianca Vidal""]"
tt0020128,5,nm0002031,director,\N,\N
