nconst,primaryName,primaryProfession,tconst
nm0000286,Stephen Baldwin,director,tt0115683
nm0000286,Stephen Baldwin,director,tt0114814
nm0000291,Angela Bassett,director,tt0114558
nm0000291,Angela Bassett,director,tt0118884
nm0000291,Angela Bassett,director,tt1825683
nm0000294,Amanda Bearse,director,tt0089175
nm0000299,Michael Biehn,director,tt0090605
nm0000299,Michael Biehn,director,tt0117500
nm0000299,Michael Biehn,director,tt0088247
nm0000299,Michael Biehn,director,tt0096754
nm0000301,Thora Birch,director,tt0162346
nm0000301,Thora Birch,director,tt0105112
nm0000301,Thora Birch,director,tt0169547
nm0000306,Brian Blessed,director,tt0120855
nm0000306,Brian Blessed,director,tt0107616
nm0000306,Brian Blessed,director,tt0120915
nm0000307,Helena Bonham Carter,director,tt0137523
nm0000307,Helena Bonham Carter,director,tt0408236
nm0000307,Helena Bonham Carter,director,tt1504320
nm0000318,Tim Burton,director,tt1142977
nm0000318,Tim Burton,director,tt0408236
nm0000318,Tim Burton,director,tt0099487
nm0000318,Tim Burton,director,tt0121164
nm0000339,Roger Corman,director,tt0102926
nm0000339,Roger Corman,director,tt0091419
nm0000343,David Cronenberg,director,tt0094964
nm0000343,David Cronenberg,director,tt0120907
nm0000343,David Cronenberg,director,tt0115964
nm0000343,David Cronenberg,director,tt0091064
nm0000346,Macaulay Culkin,director,tt0107034
nm0000346,Macaulay Culkin,director,tt0099785
nm0000346,Macaulay Culkin,director,tt0102492
nm0000346,Macaulay Culkin,director,tt0104431
nm0000361,Brian De Palma,director,tt0080661
nm0000361,Brian De Palma,director,tt0094226
nm0000361,Brian De Palma,director,tt0120832
nm0000361,Brian De Palma,director,tt0086984
nm0000362,Danny DeVito,director,tt0098621
nm0000362,Danny DeVito,director,tt0119488
nm0000362,Danny DeVito,director,tt0103776
nm0000369,Matt Dillon,director,tt0097240
nm0000369,Matt Dillon,director,tt0129387
nm0000373,Michael Dorn,director,tt0111280
nm0000373,Michael Dorn,director,tt0117731
nm0000373,Michael Dorn,director,tt0120844
nm0000373,Michael Dorn,director,tt0102975
nm0000381,Anthony Edwards,director,tt0088000
nm0000381,Anthony Edwards,director,tt0443706
nm0000381,Anthony Edwards,director,tt0092099
nm0000382,Atom Egoyan,director,tt1352824
nm0000382,Atom Egoyan,director,tt0120255
nm0000386,Roland Emmerich,director,tt0319262
nm0000386,Roland Emmerich,director,tt1628841
nm0000386,Roland Emmerich,director,tt0120685
nm0000389,Emilio Estevez,director,tt0100994
nm0000389,Emilio Estevez,director,tt0308055
nm0000399,David Fincher,director,tt0443706
nm0000399,David Fincher,director,tt1285016
nm0000399,David Fincher,director,tt2267998
nm0000399,David Fincher,director,tt0114369
nm0000401,Laurence Fishburne,director,tt0234215
nm0000401,Laurence Fishburne,director,tt0133093
nm0000401,Laurence Fishburne,director,tt0327056
nm0000407,Vivica A. Fox,director,tt0266697
nm0000407,Vivica A. Fox,director,tt0118688
nm0000408,Jonathan Frakes,director,tt0111280
nm0000408,Jonathan Frakes,director,tt0117731
nm0000408,Jonathan Frakes,director,tt0120844
nm0000408,Jonathan Frakes,director,tt0253754
nm0000418,Danny Glover,director,tt0097733
nm0000418,Danny Glover,director,tt0122151
nm0000418,Danny Glover,director,tt1190080
nm0000418,Danny Glover,director,tt0093409
nm0000420,Valeria Golino,director,tt0095953
nm0000420,Valeria Golino,director,tt8613070
nm0000420,Valeria Golino,director,tt0107144
nm0000420,Valeria Golino,director,tt0102059
nm0000425,Peter Greenaway,director,tt0092929
nm0000425,Peter Greenaway,director,tt0097108
nm0000431,Taylor Hackford,director,tt0084434
nm0000431,Taylor Hackford,director,tt0109642
nm0000431,Taylor Hackford,director,tt0350258
nm0000435,Daryl Hannah,director,tt0378194
nm0000435,Daryl Hannah,director,tt0088161
nm0000435,Daryl Hannah,director,tt0083658
nm0000435,Daryl Hannah,director,tt0094291
nm0000436,Curtis Hanson,director,tt0104389
nm0000436,Curtis Hanson,director,tt0388125
nm0000436,Curtis Hanson,director,tt0298203
nm0000436,Curtis Hanson,director,tt0119488
nm0000438,Ed Harris,director,tt0112384
nm0000438,Ed Harris,director,tt0120382
nm0000438,Ed Harris,director,tt0800308
nm0000438,Ed Harris,director,tt0183659
nm0000440,Nina Hartley,director,tt0118749
nm0000442,Rutger Hauer,director,tt0091209
nm0000442,Rutger Hauer,director,tt1640459
nm0000442,Rutger Hauer,director,tt0083658
nm0000451,Gaby Hoffmann,director,tt0097351
nm0000451,Gaby Hoffmann,director,tt0098554
nm0000451,Gaby Hoffmann,director,tt0114011
nm0000451,Gaby Hoffmann,director,tt0116242
nm0000454,Dennis Hopper,director,tt0111257
nm0000454,Dennis Hopper,director,tt0090756
nm0000454,Dennis Hopper,director,tt0114898
nm0000459,Timothy Hutton,director,tt0081283
nm0000459,Timothy Hutton,director,tt0343737
nm0000459,Timothy Hutton,director,tt0115639
nm0000462,Kate Jackson,director,tt0084293
nm0000463,Famke Janssen,director,tt0120903
nm0000463,Famke Janssen,director,tt0376994
nm0000463,Famke Janssen,director,tt0185371
nm0000463,Famke Janssen,director,tt0113189
nm0000464,Jim Jarmusch,director,tt1714915
nm0000464,Jim Jarmusch,director,tt0412019
nm0000464,Jim Jarmusch,director,tt5247022
nm0000464,Jim Jarmusch,director,tt0088184
nm0000465,Ron Jeremy,director,tt0120577
nm0000465,Ron Jeremy,director,tt0124819
nm0000465,Ron Jeremy,director,tt0144117
