tconst,titleType,primaryTitle,startYear,averageRating,genres
tt0081375,movie,Private Benjamin,1980,6.2,"Comedy,War"
tt0081376,movie,The Private Eyes,1980,6.5,"Comedy,Mystery"
tt0081383,movie,Prom Night,1980,5.3,"Horror,Mystery,Thriller"
tt0081398,movie,Raging Bull,1980,8.1,"Biography,Drama,Sport"
tt0081400,movie,Raise the Titanic,1980,5.1,"Action,Adventure,Drama"
tt0081414,movie,Resurrection,1980,7.1,"Drama,Fantasy"
tt0081421,movie,The Return,1980,3.7,"Mystery,Sci-Fi,Thriller"
tt0081426,movie,Richard III,1982,4.9,"Drama,History"
tt0081433,movie,Roadie,1980,5.2,"Comedy,Music"
tt0081445,movie,Running Scared,1980,4.9,"Action,Adventure,Drama"
tt0081455,movie,Scanners,1981,6.7,"Horror,Sci-Fi,Thriller"
tt0081479,movie,Seed of Innocence,1980,5.3,Drama
tt0081480,movie,Seems Like Old Times,1980,6.7,"Comedy,Romance"
tt0081485,movie,Serial,1980,6.5,Comedy
tt0081494,movie,Return to the 36th Chamber,1980,6.9,"Action,Comedy"
tt0081505,movie,The Shining,1980,8.4,"Drama,Horror"
tt0081529,movie,Smokey and the Bandit II,1980,5.2,"Action,Adventure,Comedy"
tt0081534,movie,Somewhere in Time,1980,7.2,"Drama,Fantasy,Romance"
tt0081554,movie,Stardust Memories,1980,7.2,"Comedy,Drama"
tt0081559,movie,Stepping Out,1980,0.0,Documentary
tt0081562,movie,Stir Crazy,1980,6.7,"Comedy,Crime"
tt0081568,movie,The Stunt Man,1980,7.0,"Action,Comedy,Drama"
tt0081573,movie,Superman II,1980,6.8,"Action,Adventure,Sci-Fi"
tt0081625,movie,"Those Lips, Those Eyes",1980,6.4,"Comedy,Romance"
tt0081633,movie,Time Bandits,1981,6.9,"Adventure,Comedy,Fantasy"
tt0081645,movie,Touch and Go,1980,5.4,"Comedy,Crime"
tt0081655,movie,The Hit,1981,6.9,"Comedy,Musical"
tt0081664,movie,Tuck Everlasting,1981,6.5,"Drama,Family,Fantasy"
tt0081696,movie,Urban Cowboy,1980,6.4,"Drama,Romance,Western"
tt0081738,movie,The Watcher in the Woods,1980,6.1,"Family,Horror,Mystery"
tt0081747,movie,When Time Ran Out...,1980,4.5,"Action,Adventure,Drama"
tt0081748,movie,Where the Buffalo Roam,1980,6.5,"Biography,Comedy"
tt0081751,movie,Wholly Moses!,1980,4.7,"Comedy,Fantasy"
tt0081753,movie,Why Would I Lie?,1980,5.9,"Comedy,Drama"
tt0081758,movie,Willie & Phil,1980,5.9,"Comedy,Drama,Romance"
tt0081759,movie,Windows,1980,4.8,"Drama,Thriller"
tt0081760,movie,Windwalker,1980,6.8,"Adventure,Drama,Western"
tt0081777,movie,Xanadu,1980,5.3,"Fantasy,Musical,Romance"
tt0081787,movie,Yesterday,1981,6.2,"Drama,Romance,War"
tt0081974,movie,Absence of Malice,1981,6.9,"Drama,Romance,Thriller"
tt0082001,movie,All Night Long,1981,5.5,"Comedy,Drama,Romance"
tt0082005,movie,The Amateur,1981,5.8,"Crime,Thriller"
tt0082009,movie,American Pop,1981,7.1,"Animation,Drama,History"
tt0082010,movie,An American Werewolf in London,1981,7.5,"Comedy,Horror"
tt0082017,movie,Amy,1981,6.4,"Drama,Family"
tt0082021,movie,Anna,1981,6.5,Drama
tt0082031,movie,Arthur,1981,6.9,"Comedy,Romance"
tt0082042,movie,Back Roads,1981,5.6,"Adventure,Comedy,Romance"
tt0082043,movie,Bad Blood,1981,6.5,"Drama,Thriller"
tt0082044,movie,Bad Girls,1981,6.3,"Adult,Adventure,Comedy"
tt0082085,movie,Blow Out,1981,7.4,"Crime,Drama,Mystery"
tt0082089,movie,Body Heat,1981,7.4,"Crime,Drama,Romance"
tt0082111,movie,Buddy Buddy,1981,6.5,Comedy
tt0082121,movie,Bustin' Loose,1981,6.0,"Comedy,Drama"
tt0082136,movie,The Cannonball Run,1981,6.2,"Action,Comedy,Sport"
tt0082138,movie,Carbon Copy,1981,5.6,"Comedy,Drama"
tt0082145,movie,Cattle Annie and Little Britches,1980,6.1,"Drama,Western"
tt0082146,movie,Caveman,1981,5.8,"Comedy,Romance"
tt0082158,movie,Chariots of Fire,1981,7.1,"Biography,Drama,Sport"
tt0082163,movie,Nice Dreams,1981,6.1,"Comedy,Crime"
tt0082186,movie,Clash of the Titans,1981,6.9,"Action,Adventure,Family"
tt0082193,movie,Comin' at Ya!,1981,5.2,Western
tt0082198,movie,Conan the Barbarian,1982,6.9,"Action,Adventure,Fantasy"
tt0082200,movie,Continental Divide,1981,6.2,"Comedy,Romance"
tt0082220,movie,Cutter's Way,1981,6.8,"Crime,Drama,Mystery"
tt0082226,movie,D.O.A.,1980,7.3,"Documentary,Music"
tt0082242,movie,Dead & Buried,1981,6.5,"Horror,Mystery"
tt0082245,movie,Deadly Blessing,1981,5.5,"Horror,Thriller"
tt0082250,movie,Death Wish II,1982,6.0,"Action,Crime,Drama"
tt0082263,movie,The Devil and Max Devlin,1981,5.0,"Comedy,Family,Fantasy"
tt0082269,movie,Diva,1981,7.2,"Crime,Music,Thriller"
tt0082288,movie,Dragonslayer,1981,6.6,"Action,Adventure,Fantasy"
tt0082307,movie,The Beyond,1981,6.6,Horror
tt0082329,movie,Endless Love,1981,4.9,"Drama,Romance"
tt0082334,movie,The Entity,1982,6.7,"Drama,Horror"
tt0082340,movie,Escape from New York,1981,7.1,"Action,Adventure,Sci-Fi"
tt0082348,movie,Excalibur,1981,7.3,"Adventure,Drama,Fantasy"
tt0082350,movie,An Eye for an Eye,1981,5.5,"Action,Adventure,Crime"
tt0082351,movie,Eye of the Needle,1981,7.1,"Romance,Thriller,War"
tt0082352,movie,Eyes of a Stranger,1981,5.9,"Horror,Thriller"
tt0082353,movie,Eyewitness,1981,5.9,"Crime,Drama,Mystery"
tt0082361,movie,The Fan,1982,6.7,"Drama,Horror,Music"
tt0082377,movie,The Final Conflict,1981,5.5,Horror
tt0082398,movie,For Your Eyes Only,1981,6.7,"Action,Adventure,Thriller"
tt0082402,movie,Fort Apache the Bronx,1981,6.7,"Crime,Drama"
tt0082405,movie,The Four Seasons,1981,6.8,"Comedy,Drama"
tt0082406,movie,The Fox and the Hound,1981,7.2,"Adventure,Animation,Drama"
tt0082416,movie,The French Lieutenant's Woman,1981,6.9,"Drama,Romance"
tt0082418,movie,Friday the 13th Part 2,1981,6.1,"Horror,Mystery,Thriller"
tt0082425,movie,Full Moon High,1981,4.8,"Comedy,Fantasy,Horror"
tt0082427,movie,The Funhouse,1981,5.9,Horror
tt0082432,movie,Gallipoli,1981,7.4,"Adventure,Drama,History"
tt0082449,movie,Ghost Story,1981,6.3,"Drama,Horror,Thriller"
tt0082452,movie,A Girl's Best Friend,1981,6.6,"Adult,Comedy,Crime"
tt0082467,movie,Graduation Day,1981,4.8,"Horror,Mystery,Thriller"
tt0082474,movie,The Great Muppet Caper,1981,7.1,"Adventure,Comedy,Crime"
tt0082481,movie,Bewitched,1981,6.5,"Crime,Horror,Thriller"
tt0082484,movie,Quest for Fire,1981,7.3,"Adventure,Drama"
tt0082495,movie,Halloween II,1981,6.5,Horror
tt0082497,movie,The Hand,1981,5.5,"Drama,Horror,Thriller"
tt0082507,movie,Heartbeeps,1981,4.2,"Comedy,Sci-Fi"
tt0082517,movie,History of the World: Part I,1981,6.8,"Comedy,History,Musical"
tt0082522,movie,Home Sweet Home,1981,3.5,Horror
tt0082525,movie,Honky Tonk Freeway,1981,5.2,"Action,Comedy"
tt0082533,movie,The Howling,1981,6.5,Horror
tt0082558,movie,The Incredible Shrinking Woman,1981,5.5,"Comedy,Sci-Fi"
tt0082619,movie,King of the Mountain,1981,5.4,"Action,Adventure,Drama"
tt0082648,movie,The Legend of the Lone Ranger,1981,4.9,"Action,Adventure,Drama"
tt0082676,movie,Longshot,1981,4.7,"Comedy,Drama,Sport"
tt0082677,movie,Looker,1981,6.1,"Drama,Sci-Fi,Thriller"
tt0082747,movie,Honey,1981,4.9,Drama
